z [km],T [K],p [kPa],rho [kg / m^3]
0,288.15,1.013e+02,1.225e+00
1,281.65,8.988e+01,1.112e+00
2,275.15,7.951e+01,1.007e+00
3,268.66,7.012e+01,9.093e-01
4,262.17,6.166e+01,8.194e-01
5,255.68,5.405e+01,7.364e-01
6,249.19,4.722e+01,6.601e-01
7,242.70,4.111e+01,5.900e-01
8,236.22,3.565e+01,5.258e-01
9,229.73,3.080e+01,4.671e-01
10,223.25,2.650e+01,4.135e-01
11,216.77,2.270e+01,3.648e-01
12,216.65,1.936e+01,3.112e-01
13,216.65,1.642e+01,2.640e-01
14,216.65,1.386e+01,2.229e-01
15,216.65,1.163e+01,1.870e-01
16,216.65,9.704e+00,1.560e-01
17,216.65,8.044e+00,1.293e-01
18,216.65,7.565e+00,1.216e-01
19,216.65,6.467e+00,1.040e-01
20,216.65,5.529e+00,8.900e-02
21,217.58,4.727e+00,7.569e-02
22,218.57,4.047e+00,6.451e-02
23,219.57,3.467e+00,5.500e-02
24,220.56,2.972e+00,4.694e-02
25,221.55,2.549e+00,4.008e-02
26,222.54,2.188e+00,3.425e-02
27,223.54,1.880e+00,2.930e-02
28,224.53,1.616e+00,2.507e-02
29,225.52,1.390e+00,2.148e-02
30,226.51,1.197e+00,1.841e-02
32,228.49,8.889e-01,1.355e-02
34,233.74,6.632e-01,9.885e-03
36,239.28,4.984e-01,7.256e-03
38,244.82,3.770e-01,5.365e-03
40,250.35,2.871e-01,3.994e-03
42,255.88,2.199e-01,2.994e-03
44,261.40,1.694e-01,2.258e-03
46,266.92,1.313e-01,1.714e-03
48,270.65,1.023e-01,1.317e-03
50,270.65,7.977e-02,1.027e-03
52,269.03,6.221e-02,8.055e-04
54,263.52,4.833e-02,6.389e-04
56,258.02,3.736e-02,5.044e-04
58,252.52,2.872e-02,3.962e-04
60,247.02,2.196e-02,3.096e-04
62,241.53,1.669e-02,2.407e-04
64,236.04,1.260e-02,1.860e-04
66,230.55,9.460e-03,1.429e-04
68,225.07,7.052e-03,1.092e-04
70,219.58,5.220e-03,8.282e-05
72,214.26,3.836e-03,6.236e-05
74,210.35,2.801e-03,4.638e-05
76,206.45,2.033e-03,3.431e-05
78,202.54,1.467e-03,2.524e-05
80,198.64,1.052e-03,1.846e-05
82,194.74,7.500e-04,1.342e-05
84,190.84,5.310e-04,9.693e-06
86,186.95,3.733e-04,6.957e-06
88,186.95,2.615e-04,4.872e-06
90,186.95,1.833e-04,3.415e-06
92,186.95,1.285e-04,2.394e-06
94,188.89,9.027e-05,1.665e-06
96,190.83,6.365e-05,1.162e-06
98,192.77,4.505e-05,8.142e-07
100,195.08,3.201e-05,5.726e-07
120,360.0,2.540e-06,2.220e-08
150,634.4,4.540e-07,2.080e-09
200,854.6,8.470e-08,2.540e-10
300,976.0,8.770e-09,1.920e-11
500,999.2,3.020e-10,5.220e-13
700,1000.0,3.190e-11,3.070e-14
1000,1000.0,7.710e-12,3.560e-15
